exact_address,price,size,rooms,floor,monthly_fee,price_per_sqm,has_elevator,has_balcony,latitude,longitude,main_neighborhood,sub_neighborhood,date,year,month,season,rooms_per_sqm,is_central,seasonal_price_trend,price_change_pct,monthly_price_change,location_avg_price_per_sqm,location_avg_price_per_sqm_sub,months_since_sale,predicted_ending_price
Rutger Fuchsgatan 9,3895000.0,47.0,2.0,2.0,2877.0,82872.0,True,False,,,södermalm,katarina sofia,2024-09-17 07:17:05.119757,2024,9,4,0.0425531914893617,0,5423264.851586489,,-0.36492890995260663,103268.90042472865,106161.27474649927,0,4715921.842857143
"Bellmansgatan 19, 2tr",9900000.0,83.0,3.0,2.0,4295.0,119277.0,False,True,,,stockholm,central,2024-09-17 07:17:05.119757,2024,9,4,0.03614457831325301,0,5423264.851586489,,-0.36492890995260663,109606.78248205555,80164.38654110392,0,8627634.801587302
Lillhagsvägen 18,2100000.0,69.0,3.0,3.0,6314.0,30435.0,True,True,,,hagsätra,central,2024-09-17 07:17:05.119757,2024,9,4,0.043478260869565216,0,5423264.851586489,,-0.36492890995260663,32876.55971479501,80164.38654110392,0,2169353.8095238097
Kista alléväg 11,1650000.0,37.6,2.0,4.0,3168.0,43883.0,True,True,,,kista,central,2024-09-17 07:17:05.119757,2024,9,4,0.05319148936170213,0,5423264.851586489,,-0.36492890995260663,31429.782424413675,80164.38654110392,0,1549711.6666666665
"Brantingsgatan 25, 4 tr",2750000.0,27.0,1.0,4.0,2208.0,101852.0,True,True,,,gärdet,central,2024-09-17 07:17:05.119757,2024,9,4,0.037037037037037035,0,5423264.851586489,,-0.36492890995260663,107664.52810394221,80164.38654110392,0,3110499.9999999995
Emmyborgsgatan,5040000.0,47.0,2.0,2.0,4110.0,107234.0,True,True,,,marieviks udde,central,2024-09-17 07:17:05.119757,2024,9,4,0.0425531914893617,0,5423264.851586489,,-0.36492890995260663,,80164.38654110392,0,3943731.7857142854
Emmyborgsgatan,4640000.0,49.0,2.0,3.0,4210.0,94694.0,True,True,,,marieviks udde,central,2024-09-17 07:17:05.119757,2024,9,4,0.04081632653061224,0,5423264.851586489,,-0.36492890995260663,,80164.38654110392,0,3949545.952380953
Hagagatan 18,7950000.0,70.0,3.0,3.0,5916.0,113571.0,False,True,,,vasastan,central,2024-09-17 07:17:05.119757,2024,9,4,0.04285714285714286,0,5423264.851586489,,-0.36492890995260663,116669.36752942408,80164.38654110392,0,7009389.761904759
Bygärdesvägen 4,1295000.0,28.0,1.0,2.0,2003.0,46250.0,False,False,,,spånga,bromsten,2024-09-17 07:17:05.119757,2024,9,4,0.03571428571428571,0,5423264.851586489,,-0.36492890995260663,37284.32811480756,35106.382978723406,0,1700633.2683982681
Wittstocksgatan 28,6950000.0,58.0,2.0,3.0,1175.0,119828.0,True,False,,,östermalm,central,2024-09-17 07:17:05.119757,2024,9,4,0.034482758620689655,0,5423264.851586489,,-0.36492890995260663,132935.65588339852,80164.38654110392,0,6832662.5
Lützengatan 3,23250000.0,195.0,6.0,0.0,6201.0,119231.0,True,False,,,invid karlaplan,central,2024-09-17 07:17:05.119757,2024,9,4,0.03076923076923077,0,5423264.851586489,,-0.36492890995260663,,80164.38654110392,0,7888002.619047618
