link,exact_address,size,rooms,monthly_fee,location,has_elevator,has_balcony,listing_price,end_price,price_change_percentage,price_per_sqm,date
https://www.hemnet.se/salda/lagenhet-3rum-hammarby-sjostad-stockholms-kommun-ljusslingan-32-2660624888300562775,Ljusslingan 32,94.0,3.0,6822,"Hammarby Sjöstad, Stockholms kommun",True,True,9500000,9500000,0,101064,2024-09-15
https://www.hemnet.se/salda/lagenhet-3rum-sodermalm-stockholms-kommun-hornsgatan-117-8475242243869126156,Hornsgatan 117,85.0,3.0,4680,"Södermalm, Stockholms kommun",True,True,6000000,6000000,0,70588,2024-09-15
https://www.hemnet.se/salda/villa-7rum-mariehall-stockholms-kommun-flyttblocksvagen-18-5152041527719376931,Flyttblocksvägen 18,127.0,7.0,650,"Mariehäll, Stockholms kommun",False,True,10769230,11200000,4,,2024-09-15
"https://www.hemnet.se/salda/lagenhet-2rum-vasastan-odenplan-stockholms-kommun-vastmannagatan-61b,-4-4-tr-9100064846436396700",Västmannagatan 61B,58.0,2.0,2588,"Vasastan Odenplan, Stockholms kommun",False,True,6730769,7000000,4,120690,2024-09-15
https://www.hemnet.se/salda/lagenhet-5rum-ostermalm-stockholms-kommun-banergatan-51-5586906940103157460,Banérgatan 51,157.0,5.0,8324,"Östermalm, Stockholms kommun",False,False,23000000,23000000,0,146497,2024-09-15
"https://www.hemnet.se/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-kungsholms-hamnplan-5,-van-2-1856358700289395806",Kungsholms Hamnplan 5,60.0,2.0,2616,"Kungsholmen, Stockholms kommun",True,True,5973451,6750000,13,112500,2024-09-15
https://www.hemnet.se/salda/lagenhet-2rum-ulvsunda-stockholms-kommun-lindstigen-7-4607009654570885575,Lindstigen 7,46.5,2.0,4259,"Ulvsunda, Stockholms kommun",False,True,2303571,2580000,12,55484,2024-09-15
https://www.hemnet.se/salda/villa-6rum-spanga-sundby-stockholms-kommun-logvagen-32-5093005372864319409,Logvägen 32,138.0,6.0,1009,"Spånga - Sundby, Stockholms kommun",False,False,6900000,6900000,0,,2024-09-15
https://www.hemnet.se/salda/lagenhet-2rum-kristinebergs-strand-stockholms-kommun-olof-dalins-vag-18-7187802416254275279,Olof Dalins väg 18,59.0,2.0,4302,"Kristinebergs strand, Stockholms kommun",True,True,5295000,5295000,0,89746,2024-09-15
https://www.hemnet.se/salda/lagenhet-1rum-ostermalm-gardet-stockholms-kommun-vartavagen-59-4369614097551833589,Värtavägen 59,20.0,1.0,1136,"Östermalm / Gärdet, Stockholms kommun",False,False,2205882,2250000,2,112500,2024-09-15
https://www.hemnet.se/salda/villa-5rum-tallkrogen-stockholms-kommun-fasanvagen-3-4495049654911853824,Fasanvägen 3,110.0,5.0,602,"Tallkrogen, Stockholms kommun",False,False,9457943,10120000,7,,2024-09-15
https://www.hemnet.se/salda/lagenhet-2rum-skarholmen-stockholms-kommun-aspholmsvagen-27-3185431520703186932,Äspholmsvägen 27,67.0,2.0,5018,"Skärholmen, Stockholms kommun",True,True,1593137,1625000,2,24254,2024-09-15
https://www.hemnet.se/salda/lagenhet-2rum-annedal-stockholms-kommun-tummelisas-gata-4-2509761954489281886,Tummelisas gata 4,48.0,2.0,3602,"Annedal, Stockholms kommun",True,False,2598039,2650000,2,55208,2024-09-15
https://www.hemnet.se/salda/villa-5rum-alsten-stockholms-kommun-storskogsvagen-20-3394391758562339866,Storskogsvägen 20,98.0,5.0,392,"Ålsten, Stockholms kommun",False,False,12869565,14800000,15,,2024-09-14
https://www.hemnet.se/salda/lagenhet-3rum-midsommarkransen-stockholms-kommun-telefonvagen-5-1441695573489170682,Telefonvägen 5,79.0,3.0,4971,"Midsommarkransen, Stockholms kommun",True,True,5689655,6600000,16,83544,2024-09-14
https://www.hemnet.se/salda/lagenhet-2rum-hagerstensasen-stockholms-kommun-boktryckarvagen-14-5008755611300414134,Boktryckarvägen 14,51.0,2.0,3655,"Hägerstensåsen, Stockholms kommun",True,False,2783018,2950000,6,57843,2024-09-14
