link,exact_address,price,size,rooms,floor,monthly_fee,price_per_sqm,location,has_elevator,has_balcony,latitude,longitude
https://www.hemnet.se/bostad/lagenhet-2rum-kista-stockholms-kommun-kista-allevag-11-21410248,Kista alléväg 11,1650000,37.6,2.0,4,3168,43883,"Kista, Stockholms kommun",True,True,,
"https://www.hemnet.se/bostad/lagenhet-3rum-stockholms-kommun-bellmansgatan-19,-2tr-21410259",Bellmansgatan 19,9900000,83.0,3.0,2,4295,119277,"Stockholm, Stockholms kommun",False,True,,
https://www.hemnet.se/bostad/lagenhet-2rum-sodermalm-katarina-sofia-stockholms-kommun-rutger-fuchsgatan-9-21410292,Rutger Fuchsgatan 9,3895000,47.0,2.0,2,2877,82872,"Södermalm - Katarina Sofia, Stockholms kommun",True,False,,
"https://www.hemnet.se/bostad/lagenhet-3rum-maria-stockholms-kommun-fatburs-kvarngata-2,-1tr-21410312",Fatburs Kvarngata 2,3795000,56.5,3.0,1,5292,67168,"Maria, Stockholms kommun",True,True,,
https://www.hemnet.se/bostad/lagenhet-2rum-vasastan-odenplan-stockholms-kommun-hagagatan-17n-21410343,Hagagatan 17N,2995000,43.0,2.0,1,2271,69651,"Vasastan - Odenplan, Stockholms kommun",True,False,,
https://www.hemnet.se/bostad/lagenhet-3rum-vasastan-odenplan-stockholms-kommun-hagagatan-12-21410442,Hagagatan 12,6895000,63.0,3.0,1,3912,109444,"Vasastan - Odenplan, Stockholms kommun",True,True,,
https://www.hemnet.se/bostad/lagenhet-2rum-bagarmossen-stockholms-kommun-sockenvagen-611-21393592,Sockenvägen 611,3495000,67.0,2.0,1,5416,52164,"Bagarmossen, Stockholms kommun",True,True,,
https://www.hemnet.se/bostad/lagenhet-3rum-lilla-essingen-stockholms-kommun-primusgatan-62-21410565,Primusgatan 62,8995000,90.0,3.0,8,6240,99944,"Lilla Essingen, Stockholms kommun",True,False,,
https://www.hemnet.se/bostad/lagenhet-1rum-bromma-beckomberga-stockholms-kommun-follingbogatan-18-21374741,Follingbogatan 18,1195000,23.0,1.0,4,2851,51957,"Bromma / Beckomberga, Stockholms kommun",True,False,,
https://www.hemnet.se/bostad/lagenhet-4rum-bromma-annedal-stockholms-kommun-dartanjangs-gata-48-21410563,Dartanjangs Gata 48,4995000,100.0,4.0,3,6229,49950,"Bromma - Annedal, Stockholms kommun",True,True,,
https://www.hemnet.se/bostad/lagenhet-1rum-kungsholmen-fridhemsplan-stockholms-kommun-sankt-eriksgatan-41-21410596,Sankt Eriksgatan 41,2895000,28.0,1.0,2,819,103393,"Kungsholmen - Fridhemsplan, Stockholms kommun",True,True,,
https://www.hemnet.se/bostad/lagenhet-3rum-ostermalm-stockholms-kommun-skeppargatan-2-21410664,Skeppargatan 2,11750000,73.0,3.0,2,1899,160959,"Östermalm, Stockholms kommun",True,False,,
https://www.hemnet.se/bostad/lagenhet-5rum-stockholms-kommun-oskarslundsbacken-13-21410672,Oskarslundsbacken 13,7990000,113.0,5.0,1,6271,70708,"Stockholm, Stockholms kommun",True,False,,
https://www.hemnet.se/bostad/lagenhet-2rum-ostermalm-stockholms-kommun-kommendorsgatan-17-21410752,Kommendörsgatan 17,9225000,63.0,2.0,4,1872,146429,"Östermalm, Stockholms kommun",True,True,,
"https://www.hemnet.se/bostad/lagenhet-2,5rum-kungsholmen-stockholms-kommun-fridhemsgatan-3-21410532",Fridhemsgatan 3,10800000,89.0,2.5,6,4217,121348,"Kungsholmen, Stockholms kommun",False,False,,
https://www.hemnet.se/bostad/lagenhet-3rum-vasastan-odenplan-stockholms-kommun-vanadisvagen-31-a-21410621,Vanadisvägen 31 A,9995000,96.0,3.0,0,4637,104115,"Vasastan - Odenplan, Stockholms kommun",True,False,,
