link,exact_address,listing_price,size,rooms,floor,monthly_fee,price_per_sqm,location,has_elevator,has_balcony,latitude,longitude,date,main_neighborhood,sub_neighborhood,year,month,season,rooms_per_sqm,is_central,months_since_sale,log_size,log_price_per_sqm,log_monthly_fee,location_avg_price_per_sqm,location_avg_price_per_sqm_sub,predicted_price,price_delta,abs_price_delta
https://www.hemnet.se/bostad/lagenhet-4rum-hogdalen-stockholms-kommun-skebokvarnsvagen-366-21388383,Skebokvarnsvägen 366,3300000,92.5,4.0,3,8185.0,35675.67567567567,"Högdalen, Stockholms kommun",True,True,,,2024-08-21 11:26:14.718597,högdalen,central,2024,8,3,0.043243243243243246,0,0.8869908015768725,4.537961436294641,10.482252411828517,0,43083.06755250286,76758.71351259395,2864912.5,-13.184469696969698,13.184469696969698
https://www.hemnet.se/bostad/lagenhet-2rum-sodermalm-sofo-stockholms-kommun-bjurholmsplan-23a-21388553,Bjurholmsplan 23A,4795000,61.0,2.0,1,4817.0,78606.55737704918,"Södermalm - SoFo, Stockholms kommun",True,False,,,2024-08-19 11:26:14.718597,södermalm,sofo,2024,8,3,0.03278688524590164,0,0.9526938239159001,4.127134385045092,11.27222312363043,0,94305.73479728837,98579.35544416348,5557510.0,15.902189781021898,15.902189781021898
https://www.hemnet.se/bostad/lagenhet-3rum-arsta-stockholms-kommun-branningevagen-30b-21388872,Bränningevägen 30B,5775000,78.0,3.0,3,4698.0,74038.46153846153,"Årsta, Stockholms kommun",True,True,,,2024-09-13 11:26:14.718597,årsta,central,2024,9,4,0.038461538461538464,0,0.1314060446780552,4.3694478524670215,11.212353494084834,0,56171.60279000774,76758.71351259395,6419376.5,11.158034632034632,11.158034632034632
"https://www.hemnet.se/bostad/lagenhet-2rum-midsommarkransen-telefonplan-stockholms-kommun-tellusborgsvagen-94,-uteplats-21402739",Tellusborgsvägen 94,2695000,39.0,2.0,1,2798.0,69102.56410256411,"Midsommarkransen / Telefonplan, Stockholms kommun",True,False,,,2024-09-06 11:26:14.718597,midsommarkransen,telefonplan,2024,9,4,0.05128205128205128,0,0.36136662286465177,3.6888794541139363,11.143361587333924,0,71274.70464202076,68127.93594352162,2817219.0,4.5350278293135435,4.5350278293135435
https://www.hemnet.se/bostad/lagenhet-2rum-sodermalm-hornstull-stockholms-kommun-heleneborgsgatan-25b-21408963,Heleneborgsgatan 25B,5575000,56.0,2.0,4,3325.0,99553.57142857143,"Södermalm - Hornstull, Stockholms kommun",False,True,,,2024-09-03 11:26:14.718597,södermalm,hornstull,2024,9,4,0.03571428571428571,0,0.45992115637319314,4.04305126783455,11.508461229367908,0,94305.73479728837,96875.2843146493,6104380.0,9.49560538116592,9.49560538116592
"https://www.hemnet.se/bostad/lagenhet-2rum-kista-stockholms-kommun-sorogatan-13,-1-tr-20310836",Sorögatan 13,1700000,45.0,2.0,2,2864.0,37777.77777777778,"Kista, Stockholms kommun",True,False,,,2024-09-17 11:26:14.718597,kista,central,2024,9,4,0.044444444444444446,0,0.0,3.828641396489095,10.539502789494021,0,30927.4714275923,76758.71351259395,1668321.8,-1.8634264705882353,1.8634264705882353
https://www.hemnet.se/bostad/lagenhet-1rum-kungsholmen-stora-essingen-stockholms-kommun-flottbrovagen-25-21409952,Flottbrovägen 25,2495000,33.0,1.0,1,1869.0,75606.06060606061,"Kungsholmen- Stora Essingen, Stockholms kommun",False,False,,,2024-08-26 11:26:14.718597,kungsholmen,stora essingen,2024,8,3,0.030303030303030304,0,0.7227332457293035,3.5263605246161616,11.233304952066712,0,95400.3342479712,79108.64992380606,2451425.8,-1.7464629258517033,1.7464629258517033
https://www.hemnet.se/bostad/lagenhet-3rum-gardet-stockholms-kommun-smedsbacksgatan-7-21409946,Smedsbacksgatan 7,8495000,77.0,3.0,8,4833.0,110324.67532467532,"Gärdet, Stockholms kommun",True,True,,,2024-08-21 11:26:14.718597,gärdet,central,2024,8,3,0.03896103896103896,0,0.8869908015768725,4.356708826689592,11.611191955348792,0,101969.7935693269,76758.71351259395,9191396.0,8.197716303708063,8.197716303708063
"https://www.hemnet.se/bostad/lagenhet-1rum-vasastan-sibirien-stockholms-kommun-roslagsgatan-41,-3tr-21410063",Roslagsgatan 41,3650000,34.0,1.0,3,2521.0,107352.94117647059,"Vasastan - Sibirien, Stockholms kommun",False,False,,,2024-09-01 11:26:14.718597,vasastan,sibirien,2024,9,4,0.029411764705882353,0,0.5256241787122208,3.5553480614894135,11.58388651596762,0,110199.03490104647,100546.00321454472,3814095.5,4.4957671232876715,4.4957671232876715
https://www.hemnet.se/bostad/lagenhet-2rum-ostermalm-stockholms-kommun-nybrogatan-85-21410070,Nybrogatan 85,5950000,44.0,2.0,2,2144.0,135227.27272727274,"Östermalm, Stockholms kommun",False,False,,,2024-09-08 11:26:14.718597,östermalm,central,2024,9,4,0.045454545454545456,0,0.2956636005256242,3.8066624897703196,11.814719538534192,0,124571.30769854224,76758.71351259395,6309324.0,6.039058823529412,6.039058823529412
https://www.hemnet.se/bostad/lagenhet-3rum-kungsholmen-stockholms-kommun-svarvargatan-7-21410050,Svarvargatan 7,8950000,93.0,3.0,1,5191.0,96236.55913978495,"Kungsholmen, Stockholms kommun",True,False,,,2024-08-28 11:26:14.718597,kungsholmen,central,2024,8,3,0.03225806451612903,0,0.657030223390276,4.543294782270004,11.474574988105248,0,95400.3342479712,76758.71351259395,9351779.0,4.489150837988827,4.489150837988827
"https://www.hemnet.se/bostad/lagenhet-2rum-kungsholmen-kungsholms-strand-stockholms-kommun-kronobergsgatan-28,-2tr-21410080",Kronobergsgatan 28,6500000,65.0,2.0,2,4370.0,100000.0,"Kungsholmen - Kungsholms strand, Stockholms kommun",True,True,,,2024-09-06 11:26:14.718597,kungsholmen,kungsholms strand,2024,9,4,0.03076923076923077,0,0.36136662286465177,4.189654742026425,11.51293546492023,0,95400.3342479712,,7377307.5,13.49703846153846,13.49703846153846
"https://www.hemnet.se/bostad/lagenhet-1,5rum-vasastan-stockholms-kommun-radmansgatan-75-21410087",Rådmansgatan 75,3795000,35.0,1.5,6,3171.0,108428.57142857143,"Vasastan, Stockholms kommun",True,False,,,2024-08-30 11:26:14.718597,vasastan,central,2024,8,3,0.04285714285714286,0,0.5913272010512484,3.58351893845611,11.593856129941322,0,110199.03490104647,76758.71351259395,3957776.5,4.289235836627141,4.289235836627141
"https://www.hemnet.se/bostad/lagenhet-2rum-vasastan-roda-bergen-stockholms-kommun-torsgatan-74,-3tr-21410075",Torsgatan 74,4650000,52.0,2.0,3,4437.0,89423.07692307692,"Vasastan - Röda Bergen, Stockholms kommun",True,False,,,2024-09-14 11:26:14.718597,vasastan,röda bergen,2024,9,4,0.038461538461538464,0,0.09855453350854139,3.970291913552122,11.401145241715284,0,110199.03490104647,101734.57806611418,4681625.0,0.6801075268817204,0.6801075268817204
https://www.hemnet.se/bostad/lagenhet-2rum-gardet-stockholms-kommun-smedsbacksgatan-18-21410153,Smedsbacksgatan 18,3195000,33.0,2.0,5,2431.0,96818.18181818182,"Gärdet, Stockholms kommun",False,False,,,2024-08-19 11:26:14.718597,gärdet,central,2024,8,3,0.06060606060606061,0,0.9526938239159001,3.5263605246161616,11.48060041291245,0,101969.7935693269,76758.71351259395,3557876.8,11.357644757433489,11.357644757433489
https://www.hemnet.se/bostad/lagenhet-2rum-sodermalm-stockholms-kommun-kapellgrand-6-21410193,Kapellgränd 6,9000000,67.0,2.0,3,4348.0,134328.35820895524,"Södermalm, Stockholms kommun",True,True,,,2024-09-13 11:26:14.718597,södermalm,central,2024,9,4,0.029850746268656716,0,0.1314060446780552,4.219507705176107,11.808049960326262,0,94305.73479728837,76758.71351259395,9618986.0,6.8776222222222225,6.8776222222222225
https://www.hemnet.se/bostad/lagenhet-4rum-sodermalm-stockholms-kommun-ringvagen-41a-21400656,Ringvägen 41A,7450000,86.0,4.0,1,4119.0,86627.90697674418,"Södermalm, Stockholms kommun",True,True,,,2024-09-17 11:26:14.718597,södermalm,central,2024,9,4,0.046511627906976744,0,0.0,4.465908118654584,11.369388837659768,0,94305.73479728837,76758.71351259395,7585570.5,1.819738255033557,1.819738255033557
https://www.hemnet.se/bostad/lagenhet-2rum-ostermalm-stockholms-kommun-wittstocksgatan-28-21410265,Wittstocksgatan 28,6950000,58.0,2.0,3,1175.0,119827.58620689655,"Östermalm, Stockholms kommun",True,False,,,2024-08-20 11:26:14.718597,östermalm,central,2024,8,3,0.034482758620689655,0,0.9198423127463863,4.07753744390572,11.693817552283475,0,124571.30769854224,76758.71351259395,7063690.5,1.6358345323741006,1.6358345323741006
https://www.hemnet.se/bostad/lagenhet-3rum-vasastan-stockholms-kommun-hagagatan-18-21410052,Hagagatan 18,7950000,70.0,3.0,3,5916.0,113571.42857142857,"Vasastan, Stockholms kommun",False,True,,,2024-08-24 11:26:14.718597,vasastan,central,2024,8,3,0.04285714285714286,0,0.7884362680683311,4.2626798770413155,11.640196049573838,0,110199.03490104647,76758.71351259395,8499442.0,6.911220125786163,6.911220125786163
https://www.hemnet.se/bostad/lagenhet-2rum-kista-stockholms-kommun-kista-allevag-11-21410248,Kista alléväg 11,1650000,37.6,2.0,4,3168.0,43882.97872340425,"Kista, Stockholms kommun",True,True,,,2024-08-29 11:26:14.718597,kista,central,2024,8,3,0.05319148936170213,0,0.6241787122207622,3.653252276470785,10.689304583100062,0,30927.4714275923,76758.71351259395,1617940.2,-1.9430151515151515,1.9430151515151515
"https://www.hemnet.se/bostad/lagenhet-3rum-stockholms-kommun-bellmansgatan-19,-2tr-21410259",Bellmansgatan 19,9900000,83.0,3.0,2,4295.0,119277.10843373495,"Stockholm, Stockholms kommun",False,True,,,2024-09-11 11:26:14.718597,stockholm,central,2024,9,4,0.03614457831325301,0,0.19710906701708278,4.430816798843313,11.68921309111146,0,104033.2312831002,76758.71351259395,10343932.0,4.484161616161616,4.484161616161616
https://www.hemnet.se/bostad/lagenhet-2rum-sodermalm-katarina-sofia-stockholms-kommun-rutger-fuchsgatan-9-21410292,Rutger Fuchsgatan 9,3895000,47.0,2.0,2,2877.0,82872.34042553192,"Södermalm - Katarina Sofia, Stockholms kommun",True,False,,,2024-09-05 11:26:14.718597,södermalm,katarina sofia,2024,9,4,0.0425531914893617,0,0.39421813403416556,3.871201010907891,11.32506870225637,0,94305.73479728837,96286.56743233268,4009908.5,2.9501540436456994,2.9501540436456994
"https://www.hemnet.se/bostad/lagenhet-3rum-maria-stockholms-kommun-fatburs-kvarngata-2,-1tr-21410312",Fatburs Kvarngata 2,3795000,56.5,3.0,1,5292.0,67168.14159292035,"Maria, Stockholms kommun",True,True,,,2024-08-27 11:26:14.718597,maria,central,2024,8,3,0.05309734513274336,0,0.6898817345597897,4.051784947803305,11.114969218559187,0,104777.38771446078,76758.71351259395,4569948.0,20.420237154150197,20.420237154150197
https://www.hemnet.se/bostad/lagenhet-2rum-vasastan-odenplan-stockholms-kommun-hagagatan-17n-21410343,Hagagatan 17N,2995000,43.0,2.0,1,2271.0,69651.16279069768,"Vasastan - Odenplan, Stockholms kommun",True,False,,,2024-08-20 11:26:14.718597,vasastan,odenplan,2024,8,3,0.046511627906976744,0,0.9198423127463863,3.784189633918261,11.151269030997163,0,110199.03490104647,105944.39914763416,3111475.5,3.888998330550918,3.888998330550918
https://www.hemnet.se/bostad/lagenhet-3rum-vasastan-odenplan-stockholms-kommun-hagagatan-12-21410442,Hagagatan 12,6895000,63.0,3.0,1,3912.0,109444.44444444444,"Vasastan - Odenplan, Stockholms kommun",True,True,,,2024-08-21 11:26:14.718597,vasastan,odenplan,2024,8,3,0.047619047619047616,0,0.8869908015768725,4.1588830833596715,11.603181479832102,0,110199.03490104647,105944.39914763416,7572760.0,9.829731689630167,9.829731689630167
https://www.hemnet.se/bostad/lagenhet-2rum-bagarmossen-stockholms-kommun-sockenvagen-611-21393592,Sockenvägen 611,3495000,67.0,2.0,1,5416.0,52164.17910447761,"Bagarmossen, Stockholms kommun",True,True,,,2024-08-21 11:26:14.718597,bagarmossen,central,2024,8,3,0.029850746268656716,0,0.8869908015768725,4.219507705176107,10.86217048431854,0,55301.58918140658,76758.71351259395,3297912.5,-5.6391273247496425,5.6391273247496425
https://www.hemnet.se/bostad/lagenhet-3rum-lilla-essingen-stockholms-kommun-primusgatan-62-21410565,Primusgatan 62,8995000,90.0,3.0,8,6240.0,99944.44444444444,"Lilla Essingen, Stockholms kommun",True,False,,,2024-09-02 11:26:14.718597,lilla essingen,central,2024,9,4,0.03333333333333333,0,0.49277266754270693,4.51085950651685,11.512379760545095,0,80798.59722209876,76758.71351259395,9218718.0,2.487137298499166,2.487137298499166
https://www.hemnet.se/bostad/lagenhet-1rum-bromma-beckomberga-stockholms-kommun-follingbogatan-18-21374741,Follingbogatan 18,1195000,23.0,1.0,4,2851.0,51956.52173913043,"Bromma / Beckomberga, Stockholms kommun",True,False,,,2024-09-13 11:26:14.718597,bromma,beckomberga,2024,9,4,0.043478260869565216,0,0.1314060446780552,3.1780538303479458,10.858181774095305,0,59633.26547636321,47579.29911313839,1585051.2,32.640271966527195,32.640271966527195
https://www.hemnet.se/bostad/lagenhet-4rum-bromma-annedal-stockholms-kommun-dartanjangs-gata-48-21410563,Dartanjangs Gata 48,4995000,100.0,4.0,3,6229.0,49950.0,"Bromma - Annedal, Stockholms kommun",True,True,,,2024-09-02 11:26:14.718597,bromma,annedal,2024,9,4,0.04,0,0.49277266754270693,4.61512051684126,10.818797803896322,0,59633.26547636321,52801.6786596094,5219007.0,4.484624624624624,4.484624624624624
https://www.hemnet.se/bostad/lagenhet-1rum-kungsholmen-fridhemsplan-stockholms-kommun-sankt-eriksgatan-41-21410596,Sankt Eriksgatan 41,2895000,28.0,1.0,2,819.0,103392.85714285714,"Kungsholmen - Fridhemsplan, Stockholms kommun",True,True,,,2024-09-17 11:26:14.718597,kungsholmen,fridhemsplan,2024,9,4,0.03571428571428571,0,0.0,3.367295829986474,11.546300830615271,0,95400.3342479712,97147.64874257823,2966334.0,2.464041450777202,2.464041450777202
https://www.hemnet.se/bostad/lagenhet-3rum-ostermalm-stockholms-kommun-skeppargatan-2-21410664,Skeppargatan 2,11750000,73.0,3.0,2,1899.0,160958.90410958903,"Östermalm, Stockholms kommun",True,False,,,2024-09-07 11:26:14.718597,östermalm,central,2024,9,4,0.0410958904109589,0,0.328515111695138,4.30406509320417,11.98891057015271,0,124571.30769854224,76758.71351259395,11893814.0,1.2239489361702127,1.2239489361702127
https://www.hemnet.se/bostad/lagenhet-5rum-stockholms-kommun-oskarslundsbacken-13-21410672,Oskarslundsbacken 13,7990000,113.0,5.0,1,6271.0,70707.96460176991,"Stockholm, Stockholms kommun",True,False,,,2024-09-17 11:26:14.718597,stockholm,central,2024,9,4,0.04424778761061947,0,0.0,4.736198448394496,11.166327641608458,0,104033.2312831002,76758.71351259395,8355592.0,4.575619524405507,4.575619524405507
https://www.hemnet.se/bostad/lagenhet-2rum-ostermalm-stockholms-kommun-kommendorsgatan-17-21410752,Kommendörsgatan 17,9225000,63.0,2.0,4,1872.0,146428.57142857142,"Östermalm, Stockholms kommun",True,True,,,2024-08-23 11:26:14.718597,östermalm,central,2024,8,3,0.031746031746031744,0,0.8212877792378449,4.1588830833596715,11.894299850744305,0,124571.30769854224,76758.71351259395,9437607.0,2.3046829268292686,2.3046829268292686
"https://www.hemnet.se/bostad/lagenhet-2,5rum-kungsholmen-stockholms-kommun-fridhemsgatan-3-21410532",Fridhemsgatan 3,10800000,89.0,2.5,6,4217.0,121348.31460674158,"Kungsholmen, Stockholms kommun",False,False,,,2024-09-02 11:26:14.718597,kungsholmen,central,2024,9,4,0.028089887640449437,0,0.49277266754270693,4.499809670330265,11.706428563069094,0,95400.3342479712,76758.71351259395,11427675.0,5.811805555555556,5.811805555555556
https://www.hemnet.se/bostad/lagenhet-3rum-vasastan-odenplan-stockholms-kommun-vanadisvagen-31-a-21410621,Vanadisvägen 31 A,9995000,96.0,3.0,0,4637.0,104114.58333333333,"Vasastan - Odenplan, Stockholms kommun",True,False,,,2024-09-15 11:26:14.718597,vasastan,odenplan,2024,9,4,0.03125,0,0.0657030223390276,4.574710978503383,11.553256939205077,0,110199.03490104647,105944.39914763416,10369074.0,3.7426113056528267,3.7426113056528267
"https://www.hemnet.se/bostad/lagenhet-2rum-abrahamsberg-stockholms-kommun-abrahamsbergsvagen-73,-van-3-3-21353924",Abrahamsbergsvägen 73,2995000,47.0,2.0,3,3759.0,63723.40425531915,"Abrahamsberg, Stockholms kommun",False,True,,,2024-08-18 11:26:14.718597,abrahamsberg,central,2024,8,3,0.0425531914893617,0,0.9855453350854139,3.871201010907891,11.062322880519867,0,55663.65050771222,76758.71351259395,3103204.0,3.612821368948247,3.612821368948247
https://www.hemnet.se/bostad/lagenhet-3rum-kungsholmen-stockholms-kommun-igeldammsgatan-22d-21385561,Igeldammsgatan 22d,8995000,100.0,3.0,3,7836.0,89950.0,"Kungsholmen, Stockholms kommun",True,False,,,2024-09-15 11:26:14.718597,kungsholmen,central,2024,9,4,0.03,0,0.0657030223390276,4.61512051684126,11.407020356604264,0,95400.3342479712,76758.71351259395,9852092.0,9.528538076709282,9.528538076709282
