Datum;Grupp;Serie;Värde
2015-06-29;Riksbankens styrräntor;Styrränta;-0,25
2015-06-30;Riksbankens styrräntor;Styrränta;-0,25
2015-07-01;Riksbankens styrräntor;Styrränta;-0,25
2015-07-02;Riksbankens styrräntor;Styrränta;-0,25
2015-07-03;Riksbankens styrräntor;Styrränta;-0,25
2015-07-06;Riksbankens styrräntor;Styrränta;-0,25
2015-07-07;Riksbankens styrräntor;Styrränta;-0,25
2015-07-08;Riksbankens styrräntor;Styrränta;-0,35
2015-07-09;Riksbankens styrräntor;Styrränta;-0,35
2015-07-10;Riksbankens styrräntor;Styrränta;-0,35
2015-07-13;Riksbankens styrräntor;Styrränta;-0,35
2015-07-14;Riksbankens styrräntor;Styrränta;-0,35
2015-07-15;Riksbankens styrräntor;Styrränta;-0,35
2015-07-16;Riksbankens styrräntor;Styrränta;-0,35
2015-07-17;Riksbankens styrräntor;Styrränta;-0,35
2015-07-20;Riksbankens styrräntor;Styrränta;-0,35
2015-07-21;Riksbankens styrräntor;Styrränta;-0,35
2015-07-22;Riksbankens styrräntor;Styrränta;-0,35
2015-07-23;Riksbankens styrräntor;Styrränta;-0,35
2015-07-24;Riksbankens styrräntor;Styrränta;-0,35
2015-07-27;Riksbankens styrräntor;Styrränta;-0,35
2015-07-28;Riksbankens styrräntor;Styrränta;-0,35
2015-07-29;Riksbankens styrräntor;Styrränta;-0,35
2015-07-30;Riksbankens styrräntor;Styrränta;-0,35
2015-07-31;Riksbankens styrräntor;Styrränta;-0,35
2015-08-03;Riksbankens styrräntor;Styrränta;-0,35
2015-08-04;Riksbankens styrräntor;Styrränta;-0,35
2015-08-05;Riksbankens styrräntor;Styrränta;-0,35
2015-08-06;Riksbankens styrräntor;Styrränta;-0,35
2015-08-07;Riksbankens styrräntor;Styrränta;-0,35
2015-08-10;Riksbankens styrräntor;Styrränta;-0,35
2015-08-11;Riksbankens styrräntor;Styrränta;-0,35
2015-08-12;Riksbankens styrräntor;Styrränta;-0,35
2015-08-13;Riksbankens styrräntor;Styrränta;-0,35
2015-08-14;Riksbankens styrräntor;Styrränta;-0,35
2015-08-17;Riksbankens styrräntor;Styrränta;-0,35
2015-08-18;Riksbankens styrräntor;Styrränta;-0,35
2015-08-19;Riksbankens styrräntor;Styrränta;-0,35
2015-08-20;Riksbankens styrräntor;Styrränta;-0,35
2015-08-21;Riksbankens styrräntor;Styrränta;-0,35
2015-08-24;Riksbankens styrräntor;Styrränta;-0,35
2015-08-25;Riksbankens styrräntor;Styrränta;-0,35
2015-08-26;Riksbankens styrräntor;Styrränta;-0,35
2015-08-27;Riksbankens styrräntor;Styrränta;-0,35
2015-08-28;Riksbankens styrräntor;Styrränta;-0,35
2015-08-31;Riksbankens styrräntor;Styrränta;-0,35
2015-09-01;Riksbankens styrräntor;Styrränta;-0,35
2015-09-02;Riksbankens styrräntor;Styrränta;-0,35
2015-09-03;Riksbankens styrräntor;Styrränta;-0,35
2015-09-04;Riksbankens styrräntor;Styrränta;-0,35
2015-09-07;Riksbankens styrräntor;Styrränta;-0,35
2015-09-08;Riksbankens styrräntor;Styrränta;-0,35
2015-09-09;Riksbankens styrräntor;Styrränta;-0,35
2015-09-10;Riksbankens styrräntor;Styrränta;-0,35
2015-09-11;Riksbankens styrräntor;Styrränta;-0,35
2015-09-14;Riksbankens styrräntor;Styrränta;-0,35
2015-09-15;Riksbankens styrräntor;Styrränta;-0,35
2015-09-16;Riksbankens styrräntor;Styrränta;-0,35
2015-09-17;Riksbankens styrräntor;Styrränta;-0,35
2015-09-18;Riksbankens styrräntor;Styrränta;-0,35
2015-09-21;Riksbankens styrräntor;Styrränta;-0,35
2015-09-22;Riksbankens styrräntor;Styrränta;-0,35
2015-09-23;Riksbankens styrräntor;Styrränta;-0,35
2015-09-24;Riksbankens styrräntor;Styrränta;-0,35
2015-09-25;Riksbankens styrräntor;Styrränta;-0,35
2015-09-28;Riksbankens styrräntor;Styrränta;-0,35
2015-09-29;Riksbankens styrräntor;Styrränta;-0,35
2015-09-30;Riksbankens styrräntor;Styrränta;-0,35
2015-10-01;Riksbankens styrräntor;Styrränta;-0,35
2015-10-02;Riksbankens styrräntor;Styrränta;-0,35
2015-10-05;Riksbankens styrräntor;Styrränta;-0,35
2015-10-06;Riksbankens styrräntor;Styrränta;-0,35
2015-10-07;Riksbankens styrräntor;Styrränta;-0,35
2015-10-08;Riksbankens styrräntor;Styrränta;-0,35
2015-10-09;Riksbankens styrräntor;Styrränta;-0,35
2015-10-12;Riksbankens styrräntor;Styrränta;-0,35
2015-10-13;Riksbankens styrräntor;Styrränta;-0,35
2015-10-14;Riksbankens styrräntor;Styrränta;-0,35
2015-10-15;Riksbankens styrräntor;Styrränta;-0,35
2015-10-16;Riksbankens styrräntor;Styrränta;-0,35
2015-10-19;Riksbankens styrräntor;Styrränta;-0,35
2015-10-20;Riksbankens styrräntor;Styrränta;-0,35
2015-10-21;Riksbankens styrräntor;Styrränta;-0,35
2015-10-22;Riksbankens styrräntor;Styrränta;-0,35
2015-10-23;Riksbankens styrräntor;Styrränta;-0,35
2015-10-26;Riksbankens styrräntor;Styrränta;-0,35
2015-10-27;Riksbankens styrräntor;Styrränta;-0,35
2015-10-28;Riksbankens styrräntor;Styrränta;-0,35
2015-10-29;Riksbankens styrräntor;Styrränta;-0,35
2015-10-30;Riksbankens styrräntor;Styrränta;-0,35
2015-11-02;Riksbankens styrräntor;Styrränta;-0,35
2015-11-03;Riksbankens styrräntor;Styrränta;-0,35
2015-11-04;Riksbankens styrräntor;Styrränta;-0,35
