exact_address,price,size,rooms,floor,monthly_fee,price_per_sqm,has_elevator,has_balcony,latitude,longitude,date,year,month,season,months_since_sale,location_avg_price_per_sqm,rooms_per_sqm,is_central,main_neighborhood,sub_neighborhood,seasonal_price_trend,price_change_pct,monthly_price_change
Perstorpsvägen,3295000.0,63.0,3.0,1.0,5029.0,52302.0,True,False,,,2024-09-16 21:23:23.530581,2024,9,4,0,46701.76192522561,0.047619047619047616,0,farsta,central,5425907.446153847,,-0.36492890995260663
Masugnsvägen 86,5795000.0,79.5,3.0,3.0,4797.0,72893.0,True,True,,,2024-09-16 21:23:23.530581,2024,9,4,0,69978.61724875268,0.03773584905660377,0,mariehäll,central,5425907.446153847,,-0.36492890995260663
Flottbrovägen 25,2495000.0,33.0,1.0,1.0,1869.0,75606.0,False,False,,,2024-09-16 21:23:23.530581,2024,9,4,0,97624.30939226519,0.030303030303030304,0,kungsholmen,stora essingen,5425907.446153847,,-0.36492890995260663
Grevgatan 23,4295000.0,32.0,1.0,3.0,2316.0,134219.0,False,False,,,2024-09-16 21:23:23.530581,2024,9,4,0,139209.15807716866,0.03125,0,östermalm,central,5425907.446153847,,-0.36492890995260663
Smedsbacksgatan 18,3195000.0,33.0,2.0,5.0,2431.0,96818.0,False,False,,,2024-09-16 21:23:23.530581,2024,9,4,0,110136.75845499909,0.06060606060606061,0,gärdet,central,5425907.446153847,,-0.36492890995260663
"Karlbergsvägen 8, 1 tr",19500000.0,163.0,5.0,1.0,0.0,119632.0,True,False,,,2024-09-16 21:23:23.530581,2024,9,4,0,117447.03452345825,0.03067484662576687,0,vasastan,central,5425907.446153847,,-0.36492890995260663
Eva bonniers gata 9,3495000.0,72.0,3.0,3.0,4160.0,48542.0,False,True,,,2024-09-16 21:23:23.530581,2024,9,4,0,49351.68417240131,0.041666666666666664,0,fruängen,central,5425907.446153847,,-0.36492890995260663
"Torsgatan 74, 3tr",4650000.0,52.0,2.0,3.0,4437.0,89423.0,True,False,,,2024-09-16 21:23:23.530581,2024,9,4,0,101978.02197802198,0.038461538461538464,0,vasastan,röda bergen,5425907.446153847,,-0.36492890995260663
Rådmansgatan 75,3795000.0,35.0,1.5,6.0,3171.0,108429.0,True,False,,,2024-09-16 21:23:23.530581,2024,9,4,0,117447.03452345825,0.04285714285714286,0,vasastan,central,5425907.446153847,,-0.36492890995260663
"Olof Palmes gata 12, 2tr",6390000.0,69.0,3.0,2.0,3321.0,92609.0,True,True,,,2024-09-16 21:23:23.530581,2024,9,4,0,,0.043478260869565216,1,city,norrmalm,5425907.446153847,,-0.36492890995260663
"Kronobergsgatan 28, 2tr",6500000.0,65.0,2.0,2.0,4370.0,100000.0,True,True,,,2024-09-16 21:23:23.530581,2024,9,4,0,,0.03076923076923077,0,kungsholmen,kungsholms strand,5425907.446153847,,-0.36492890995260663
Svarvargatan 7,8950000.0,93.0,3.0,1.0,5191.0,96237.0,True,False,,,2024-09-16 21:23:23.530581,2024,9,4,0,106695.5643549364,0.03225806451612903,0,kungsholmen,central,5425907.446153847,,-0.36492890995260663
Skulptörvägen 14,4495000.0,79.0,3.0,1.0,5336.0,56899.0,True,True,,,2024-09-16 21:23:23.530581,2024,9,4,0,67369.43907156673,0.0379746835443038,0,johanneshov,central,5425907.446153847,,-0.36492890995260663
Dartanjangs Gata 46,2350000.0,53.0,2.0,1.0,3961.0,44340.0,True,False,,,2024-09-16 21:23:23.530581,2024,9,4,0,51851.851851851854,0.03773584905660377,0,bromma,annedal,5425907.446153847,,-0.36492890995260663
