link,exact_address,price,size,rooms,floor,monthly_fee,price_per_sqm,has_elevator,has_balcony,latitude,longitude,date,main_neighborhood,sub_neighborhood,year,month,season,rooms_per_sqm,is_central,seasonal_price_trend,price_change_pct,monthly_price_change,location_avg_price_per_sqm,location_avg_price_per_sqm_sub,months_since_sale,predicted_price
"https://www.hemnet.se/bostad/lagenhet-3rum-hammarbyhojden,-johanneshov-stockholms-kommun-lidkopingsvagen-17-21034378",Lidköpingsvägen 17,4895000,68.0,3.0,3,4825.0,71985.29411764706,False,True,,,2024-08-29 15:35:01.568814,"hammarbyhöjden, johanneshov",central,2024,8,3,0.04411764705882353,0,77036.65097520345,,-0.46946677415226534,65076.27552109064,76758.71351259395,0.8212877792378449,5010825.810841271
https://www.hemnet.se/bostad/lagenhet-4rum-bandhagen-stockholms-kommun-olshammarsgatan-56-21104735,Olshammarsgatan 56,2495000,73.0,4.0,3,5124.0,34178.08219178082,True,True,,,2024-09-04 15:35:01.568814,bandhagen,central,2024,9,4,0.0547945205479452,0,77524.84182798317,,0.9067489730567821,37659.75264947196,76758.71351259395,0.6241787122207622,2412085.216647186
https://www.hemnet.se/bostad/lagenhet-2rum-johannelund-vallingby-stockholms-kommun-rabattvagen-36-21290429,Rabattvägen 36,2095000,55.0,2.0,5,4222.0,38090.90909090909,True,True,,,2024-09-06 15:35:01.568814,johannelund,vällingby,2024,9,4,0.03636363636363636,0,77524.84182798317,,0.9067489730567821,,,0.5584756898817346,2312768.326166667
"https://www.hemnet.se/bostad/lagenhet-3rum-vastra-kungsholmen-hornbergs-strand-stockholms-kommun-lars-forssells-gata-31,-van-4-20144318",Lars Forssells gata 31,7495000,90.5,3.0,4,3605.0,82817.67955801105,True,True,,,2024-09-17 15:35:01.568814,västra kungsholmen,hornbergs strand,2024,9,4,0.03314917127071823,0,77524.84182798317,,0.9067489730567821,87377.75021478118,93021.86163522012,0.19710906701708278,7389095.538023809
https://www.hemnet.se/bostad/lagenhet-3rum-vallingby-centrum-stockholms-kommun-jamtlandsgatan-154-21340743,Jämtlandsgatan 154,2695000,78.0,3.0,2,6417.0,34551.282051282054,True,True,,,2024-09-20 15:35:01.568814,vällingby centrum,central,2024,9,4,0.038461538461538464,1,77524.84182798317,,0.9067489730567821,36215.21563653331,76758.71351259395,0.09855453350854139,2634434.571468254
"https://www.hemnet.se/bostad/lagenhet-3,5rum-solberga-stockholms-kommun-folkparksvagen-164,-7tr-21363928",Folkparksvägen 164,4195000,84.5,3.5,7,5738.0,49644.97041420118,True,True,,,2024-09-06 15:35:01.568814,solberga,central,2024,9,4,0.04142011834319527,0,77524.84182798317,,0.9067489730567821,42717.99122001416,76758.71351259395,0.5584756898817346,4275304.692801587
https://www.hemnet.se/bostad/lagenhet-3rum-hammarby-sjostad-stockholms-kommun-hammarby-kaj-4-21375392,Hammarby kaj 4,5750000,80.5,3.0,2,5267.0,71428.57142857143,True,True,,,2024-09-21 15:35:01.568814,hammarby sjöstad,central,2024,9,4,0.037267080745341616,0,77524.84182798317,,0.9067489730567821,78937.30655140633,76758.71351259395,0.0657030223390276,5724684.595726191
https://www.hemnet.se/bostad/lagenhet-2rum-skarpnack-stockholms-kommun-pilotgatan-6-21396309,Pilotgatan 6,1895000,59.0,2.0,1,4650.0,32118.64406779661,True,False,,,2024-08-24 15:35:01.568814,skarpnäck,central,2024,8,3,0.03389830508474576,0,77036.65097520345,,-0.46946677415226534,33958.98148353693,76758.71351259395,0.9855453350854139,1947894.2087500002
https://www.hemnet.se/bostad/lagenhet-3rum-hammarby-sjostad-stockholms-kommun-korphoppsgatan-22-21396454,Korphoppsgatan 22,6495000,84.0,3.0,4,5167.0,77321.42857142857,True,True,,,2024-09-19 15:35:01.568814,hammarby sjöstad,central,2024,9,4,0.03571428571428571,0,77524.84182798317,,0.9067489730567821,78937.30655140633,76758.71351259395,0.1314060446780552,6768574.076972222
https://www.hemnet.se/bostad/lagenhet-3rum-farsta-strand-stockholms-kommun-eksharadsgatan-81-21396581,Ekshäradsgatan 81,2995000,77.0,3.0,2,4619.0,38896.103896103894,True,True,,,2024-09-18 15:35:01.568814,farsta strand,central,2024,9,4,0.03896103896103896,0,77524.84182798317,,0.9067489730567821,40270.23070689249,76758.71351259395,0.164257555847569,2987051.0957261915
"https://www.hemnet.se/bostad/lagenhet-3rum-akalla-stockholms-kommun-nystadsgatan-3,-1-tr-21396752",Nystadsgatan 3,1795000,73.0,3.0,1,6667.0,24589.04109589041,True,True,,,2024-09-23 15:35:01.568814,akalla,central,2024,9,4,0.0410958904109589,0,77524.84182798317,,0.9067489730567821,27951.338560011587,76758.71351259395,0.0,1854456.5983441556
https://www.hemnet.se/bostad/lagenhet-2rum-husby-stockholms-kommun-stavangergatan-8-21396852,Stavangergatan 8,1495000,52.5,2.0,1,3935.0,28476.190476190477,True,True,,,2024-09-12 15:35:01.568814,husby,central,2024,9,4,0.0380952380952381,0,77524.84182798317,,0.9067489730567821,23206.023624401914,76758.71351259395,0.36136662286465177,1425032.9020357144
https://www.hemnet.se/bostad/lagenhet-3rum-kista-stockholms-kommun-langelandsgatan-3-21394212,Langelandsgatan 3,2185000,81.0,3.0,4,6531.0,26975.30864197531,True,True,,,2024-09-05 15:35:01.568814,kista,central,2024,9,4,0.037037037037037035,0,77524.84182798317,,0.9067489730567821,30927.4714275923,76758.71351259395,0.5913272010512484,2146703.1104761907
"https://www.hemnet.se/bostad/lagenhet-1,5rum-hagastaden-stockholms-kommun-halsingegatan-61-21397145",Hälsingegatan 61,5250000,35.0,1.5,2,2751.0,150000.0,True,True,,,2024-09-23 15:35:01.568814,hagastaden,central,2024,9,4,0.04285714285714286,0,77524.84182798317,,0.9067489730567821,91169.8784808635,76758.71351259395,0.0,4287638.74376984
https://www.hemnet.se/bostad/lagenhet-4rum-vasastan-ostermalm-stockholms-kommun-valhallavagen-56-21397142,Valhallavägen 56,14995000,122.0,4.0,5,6045.0,122909.83606557376,True,True,,,2024-08-29 15:35:01.568814,vasastan,östermalm,2024,8,3,0.03278688524590164,0,77036.65097520345,,-0.46946677415226534,110199.03490104647,103022.47110913806,0.8212877792378449,13380253.752309525
https://www.hemnet.se/bostad/lagenhet-5rum-alvik-stockholms-kommun-alviksvagen-11-21397147,Alviksvägen 11,9975000,124.0,5.0,1,7397.0,80443.54838709677,False,False,,,2024-09-05 15:35:01.568814,alvik,central,2024,9,4,0.04032258064516129,0,77524.84182798317,,0.9067489730567821,,76758.71351259395,0.5913272010512484,8905542.504309524
"https://www.hemnet.se/bostad/lagenhet-3rum-akalla-stockholms-kommun-kaskogatan-6,-3tr-20172916",Kaskögatan 6,2050000,75.5,3.0,3,5079.0,27152.3178807947,True,True,,,2024-09-07 15:35:01.568814,akalla,central,2024,9,4,0.039735099337748346,0,77524.84182798317,,0.9067489730567821,27951.338560011587,76758.71351259395,0.5256241787122208,1998392.914115079
https://www.hemnet.se/bostad/lagenhet-3rum-ostermalm-nedre-gardet-stockholms-kommun-skeppargatan-92-21395942,Skeppargatan 92,6975000,73.0,3.0,0,4182.0,95547.94520547945,True,False,,,2024-09-19 15:35:01.568814,östermalm,nedre gärdet,2024,9,4,0.0410958904109589,0,77524.84182798317,,0.9067489730567821,124571.30769854224,107440.79926247838,0.1314060446780552,7104293.912194445
https://www.hemnet.se/bostad/lagenhet-1rum-satra-stockholms-kommun-lovsatragrand-17-21395633,Lövsätragränd 17,1250000,56.0,1.0,1,3292.0,22321.428571428572,False,False,,,2024-08-29 15:35:01.568814,sätra,central,2024,8,3,0.017857142857142856,0,77036.65097520345,,-0.46946677415226534,33814.71670641379,76758.71351259395,0.8212877792378449,1561789.5902380953
https://www.hemnet.se/bostad/lagenhet-3rum-ostermalm-stockholms-kommun-strandvagen-29-21396976,Strandvägen 29,24000000,103.0,3.0,6,3765.0,233009.70873786407,False,False,,,2024-08-31 15:35:01.568814,östermalm,central,2024,8,3,0.02912621359223301,0,77036.65097520345,,-0.46946677415226534,124571.30769854224,76758.71351259395,0.7555847568988173,14638931.850119047
https://www.hemnet.se/bostad/lagenhet-2rum-vasastan-birkastan-stockholms-kommun-tomtebogatan-18-21397160,Tomtebogatan 18,7175000,67.0,2.0,2,4007.0,107089.55223880598,True,False,,,2024-09-21 15:35:01.568814,vasastan birkastan,central,2024,9,4,0.029850746268656716,0,77524.84182798317,,0.9067489730567821,103287.78252746882,76758.71351259395,0.0657030223390276,7146124.658940475
