exact_address,price,size,rooms,monthly_fee,price_per_sqm,location,has_elevator,has_balcony,ending_price,price_change_percentage,ending_price_per_sqm
Bersågränd 8,,64.0,2.0,2980,,"Enskededalen, Stockholms kommun",True,True,3320000,+11 %,51875
"John Ericssonsgatan 7, 4tr",,40.0,2.0,2609,,"Kungsholmen - Norr Mälarstrand, Stockholms kommun",True,False,4430000,+11 %,110750
Båtängsvägen 8D,,66.0,3.0,5021,,"Mälarhöjden, Stockholms kommun",False,False,5500000,±0 %,83333
Högalidsgatan 11,,41.0,2.0,2258,,"Hornstull, Stockholms kommun",False,True,5000000,+25 %,121951
Ljusslingan 32,,94.0,3.0,6822,,"Hammarby Sjöstad, Stockholms kommun",True,True,9500000,±0 %,101064
Hornsgatan 117,,85.0,3.0,4680,,"Södermalm, Stockholms kommun",True,True,6000000,±0 %,70588
"Västmannagatan 61B, 4/4 tr",,58.0,2.0,2588,,"Vasastan Odenplan, Stockholms kommun",False,True,7000000,+4 %,120690
Banérgatan 51,,157.0,5.0,8324,,"Östermalm, Stockholms kommun",False,False,23000000,±0 %,146497
"Kungsholms Hamnplan 5, Vån 2",,60.0,2.0,2616,,"Kungsholmen, Stockholms kommun",True,True,6750000,+13 %,112500
Lindstigen 7,,46.5,2.0,4259,,"Ulvsunda, Stockholms kommun",False,True,2580000,+12 %,55484
Olof Dalins väg 18,,59.0,2.0,4302,,"Kristinebergs strand, Stockholms kommun",True,True,5295000,±0 %,89746
Värtavägen 59,,20.0,1.0,1136,,"Östermalm / Gärdet, Stockholms kommun",False,False,2250000,-2 %,112500
Äspholmsvägen 27,,67.0,2.0,5018,,"Skärholmen, Stockholms kommun",True,True,1625000,-2 %,24254
Tummelisas gata 4,,48.0,2.0,3602,,"Annedal, Stockholms kommun",True,False,2650000,-2 %,55208
Telefonvägen 5,,79.0,3.0,4971,,"Midsommarkransen, Stockholms kommun",True,True,6600000,+16 %,83544
Boktryckarvägen 14,,51.0,2.0,3655,,"Hägerstensåsen, Stockholms kommun",True,False,2950000,+6 %,57843
Geijersvägen 4,,61.0,3.0,3811,,"Kungsholmen - Thorildsplan, Stockholms kommun",False,False,5845000,+6 %,95820
